micros,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,
4726168,-140.62,-642.09,-754.39,-0.89,0.73,1.04,-30.30,18.90,-71.10,
4746179,-148.93,-632.32,-743.65,-0.52,2.47,-0.78,-29.85,17.70,-71.55,
4766190,-120.12,-660.16,-746.58,-0.31,3.21,-0.44,-31.65,18.75,-71.85,
4786199,-151.37,-657.23,-764.16,1.69,3.34,-4.32,-31.95,18.75,-71.55,
4806210,-134.28,-638.67,-750.98,1.33,0.05,-2.96,-30.75,17.85,-71.10,
4826218,-118.16,-644.04,-719.24,-4.08,0.96,1.62,-32.55,17.85,-70.35,
4846229,-129.88,-673.83,-738.77,-1.19,1.89,-0.67,-30.90,18.00,-70.80,
4866239,-120.61,-665.04,-708.98,0.34,0.47,0.02,-31.20,18.75,-71.55,
4886251,-134.28,-654.79,-735.35,-0.82,-2.56,-2.44,-30.75,17.85,-72.75,
4906257,-136.23,-628.91,-736.33,-1.50,1.34,-0.90,-31.65,17.25,-71.55,
4926262,-156.74,-643.07,-783.69,1.63,-2.69,3.34,-31.95,18.45,-72.30,
4946270,-162.11,-634.28,-790.04,0.32,0.08,-0.31,-31.20,17.70,-71.55,
4966278,-162.60,-659.18,-779.30,3.56,-1.82,-1.42,-31.35,17.85,-71.40,
4986284,-141.11,-634.77,-737.30,0.90,0.50,-3.24,-33.15,17.85,-69.60,
5006292,-115.72,-640.14,-721.19,0.37,-2.27,-2.29,-31.65,18.75,-71.25,
5026299,-139.65,-645.02,-761.72,0.81,0.00,1.79,-30.30,19.65,-73.05,
5046309,-135.74,-679.20,-758.79,-0.87,-0.85,0.90,-30.75,18.90,-72.75,
5066316,-125.49,-665.53,-745.61,0.18,-1.11,1.08,-31.65,18.45,-71.85,
5086326,-115.23,-639.65,-735.84,1.53,-1.68,-0.93,-32.25,18.00,-71.55,
5106333,-119.63,-635.25,-734.86,-0.09,-0.75,1.53,-31.20,17.25,-69.45,
5126341,-134.28,-632.32,-756.35,-3.30,0.14,0.05,-30.15,18.00,-70.80,
5146350,-133.30,-693.85,-756.35,-1.69,-0.03,-2.31,-31.05,18.60,-70.35,
5166355,-140.62,-645.51,-747.56,-7.30,1.89,-1.59,-31.95,17.70,-72.60,
5186364,-142.09,-631.35,-776.37,-1.42,0.98,-0.11,-30.75,17.55,-72.15,
5206375,-146.48,-620.61,-764.65,-2.02,0.67,3.59,-30.90,16.50,-71.55,
5226382,-170.90,-671.88,-788.57,-0.31,4.38,1.24,-32.25,16.95,-70.50,
5246389,-134.28,-653.32,-777.83,5.76,3.22,-3.36,-31.20,18.75,-71.85,
5266400,-117.19,-636.72,-721.19,2.78,3.62,-2.14,-32.85,16.35,-71.70,
5286410,-130.37,-654.79,-706.05,0.23,3.73,0.34,-31.80,16.05,-72.45,
5306420,-111.82,-665.53,-685.55,-5.08,2.03,-2.20,-29.55,19.05,-71.25,
5326427,-125.49,-689.45,-722.17,-4.61,-1.89,-3.36,-30.30,18.15,-72.75,
5346437,-128.91,-635.74,-772.46,-5.07,-4.55,-1.65,-30.75,18.15,-72.15,
5366443,-141.60,-622.56,-806.64,-2.60,-2.24,-0.26,-29.70,17.55,-71.70,
5386449,-159.67,-634.77,-803.22,1.54,2.09,4.05,-30.90,18.45,-72.90,
5406459,-148.93,-673.83,-770.02,4.11,2.69,1.34,-33.00,17.70,-71.55,
5426471,-134.77,-629.88,-724.12,3.11,0.73,-2.20,-30.90,17.70,-71.55,
5446482,-121.58,-646.97,-710.45,1.83,-0.15,2.82,-31.80,18.15,-71.40,
5466493,-133.79,-647.95,-743.16,1.30,-0.90,2.78,-31.05,18.60,-71.70,
5486500,-150.39,-664.55,-761.23,0.46,-1.28,1.15,-30.75,17.10,-70.65,
5506510,-162.11,-675.29,-766.60,3.86,-0.27,-1.80,-30.30,18.60,-72.45,
5526515,-142.09,-642.58,-746.09,4.78,0.24,-2.32,-31.80,17.55,-71.70,
5546526,-132.81,-630.86,-735.35,1.80,-1.89,3.36,-31.05,17.55,-70.05,
5566537,-106.45,-630.86,-712.89,-1.39,-0.96,4.26,-33.60,17.10,-69.60,
5586545,-140.14,-662.60,-730.47,-0.73,0.00,3.08,-31.35,17.55,-71.70,
5606552,-142.09,-650.88,-756.84,0.70,-2.58,-0.17,-29.85,17.25,-72.30,
5626558,-148.44,-624.02,-779.30,1.79,-0.15,0.18,-30.90,19.05,-71.55,
5646564,-157.23,-666.50,-766.60,0.85,3.47,-1.89,-31.80,17.85,-72.45,
5666568,-138.67,-645.02,-767.58,1.30,7.28,-1.68,-29.85,18.45,-71.85,
5686573,-130.86,-681.64,-745.12,4.60,2.35,-2.93,-30.15,18.00,-72.30,
